Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.0414,14,Other,No,.,.
0.7131,14,White,No,.,.
1.3412,14,White,No,.,.
2.2193,14,White,No,.,.
0.965,14,Black,No,.,.
0.7131,14,White,No,.,.
2.1507,14,White,Yes,14,1
2.1507,14,White,Yes,14,2
2.1507,14,White,Yes,14,1
0.3813,14,Hispanic,Yes,13,3
0.965,14,Black,No,.,.
1.0448,14,White,No,.,.
2.944,14,White,No,.,.
2.1969,14,Black,No,.,.
0.7131,14,White,No,.,.
0.9043,14,White,No,.,.
0.9043,14,White,No,.,.
0.9043,14,White,No,.,.
0.3813,14,Hispanic,Yes,14,1
0.1403,14,Black,Yes,13,3
0.1403,14,Black,No,.,.
0.2389,14,Black,Yes,14,4
4.0758,14,White,No,.,.
2.9542,14,White,No,.,.
0.2389,14,Black,Yes,11,5
2.9542,14,White,No,.,.
0.259,14,Hispanic,No,.,.
1.9704,14,White,No,.,.
0.8019,14,White,No,.,.
0.9494,14,Other,No,.,.
0.8019,14,White,No,.,.
2.2602,14,White,No,.,.
0.3813,14,Hispanic,No,.,.
0.2204,14,White,No,.,.
1.0492,14,White,Yes,11,2
1.0492,14,White,Yes,12,4
1.6808,14,White,No,.,.
1.6808,14,White,No,.,.
0.9868,14,White,Yes,14,1
2.0128,14,Hispanic,No,.,.
0.9868,14,White,No,.,.
2.7131,14,Hispanic,No,.,.
0.6743,14,Black,No,.,.
0.6743,14,Black,No,.,.
0.8643,14,Other,Yes,13,1
0.6743,14,Black,No,.,.
2.0765,14,White,No,.,.
0.8773,14,Black,.,.,.
0.9498,14,White,No,.,.
1.8915,14,White,No,.,.
0.9327,14,White,No,.,.
0.9327,14,White,No,.,.
1.789,14,Hispanic,No,.,.
0.8316,14,Black,Yes,13,1
1.4377,14,White,Yes,14,1
0.8316,14,Black,No,.,.
1.1655,14,White,No,.,.
2.0369,14,White,No,.,.
1.3545,14,White,No,.,.
1.6897,14,White,No,.,.
0.3716,14,Hispanic,No,.,.
0.3716,14,Hispanic,Yes,13,5
0.3813,14,Hispanic,No,.,.
0.3813,14,Hispanic,No,.,.
0.169,14,Black,Yes,14,1
0.169,14,Black,No,.,.
2.6173,14,Hispanic,No,.,.
2.6173,14,Hispanic,No,.,.
2.8685,14,White,No,.,.
0.6142,14,Black,No,.,.
1.4045,14,Black,No,.,.
0.5017,14,Other,No,.,.
0.6142,14,Black,No,.,.
1.9928,14,White,No,.,.
1.9928,14,White,No,.,.
1.9928,14,White,No,.,.
1.3908,14,Other,No,.,.
3.0771,14,Hispanic,Yes,14,2
1.5033,14,White,No,.,.
1.5033,14,White,No,.,.
3.0771,14,Hispanic,No,.,.
0.3813,14,Hispanic,No,.,.
0.3813,14,Hispanic,No,.,.
0.637,14,White,No,.,.
0.5883,14,Black,Yes,12,4
3.9105,14,White,No,.,.
2.2467,14,White,No,.,.
0.6406,14,Black,No,.,.
0.3203,14,White,No,.,.
0.3203,14,White,Yes,14,1
0.3813,14,Hispanic,Yes,12,1
0.6406,14,Black,.,.,.
0.2473,14,Hispanic,No,.,.
0.2572,14,Other,Yes,14,1
0.9661,14,Hispanic,No,.,.
0.0971,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
0.1871,14,Hispanic,Yes,14,6
0.2341,14,Hispanic,No,.,.
0.2475,14,White,No,.,.
0.2341,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
2.0369,14,White,No,.,.
2.0369,14,White,No,.,.
1.6426,14,Black,No,.,.
1.9647,14,White,Yes,14,1
0.0331,14,Hispanic,No,.,.
0.0971,14,Hispanic,No,.,.
0.7131,14,White,No,.,.
0.2622,14,Hispanic,Yes,14,2
0.2622,14,Hispanic,Yes,11,1
1.336,14,Hispanic,Yes,14,1
0.2622,14,Hispanic,No,.,.
1.3412,14,White,No,.,.
1.2685,14,Hispanic,No,.,.
1.2685,14,Hispanic,No,.,.
1.3412,14,White,No,.,.
2.2193,14,White,No,.,.
0.386,14,Other,No,.,.
0.965,14,Black,.,.,.
1.0448,14,Other,Yes,14,2
1.0448,14,White,Yes,13,2
2.1507,14,White,No,.,.
1.9864,14,Black,No,.,.
2.1507,14,.,No,.,.
2.1507,14,White,No,.,.
2.1507,14,White,No,.,.
1.0448,14,White,No,.,.
1.0448,14,White,Yes,14,1
1.0448,14,White,No,.,.
2.944,14,White,Yes,14,3
2.3786,14,.,Yes,12,6
1.8763,14,White,No,.,.
0.5989,14,Other,No,.,.
1.8763,14,White,No,.,.
0.9043,14,White,No,.,.
0.8352,14,Black,Yes,11,5
0.9043,14,White,No,.,.
0.9043,14,White,No,.,.
0.386,14,Other,.,.,.
0.3813,14,Hispanic,No,.,.
0.386,14,Other,No,.,.
0.386,14,Hispanic,Yes,14,1
0.1403,14,Black,Yes,11,5
0.1403,14,Black,No,.,.
